Main Category,Item Type,Item Name,Quantity,Unit,Brand,Part Number,Subcategory,Supplier,Location,Reorder Threshold,Notes,Critical Item,In Stock,NEEDS_REVIEW,Original Row,,,,,,,,
Engine Service/Spares,Tool,1/2 pint funnels (sail drive and engine oil),2,piece,,,Engine,,Strbd bath above toilet,0,No,No,,,95,,,,,,,,
Sails,Tool,Sail Repair kit,1,piece,,,Sails,Ullman Sails,Strbd bathroom above black water,0,No,No,,,97,,,,,,,,
Sails,Tool,Set of Splice/Fids,1,piece,,,Sails,Ullman Sails,Strbd bathroom above black water,0,No,No,,,98,,,,,,,,
Hose,Supply,8mm Fuel Hose,5,meter,,,Pipe,Vetus,Outdoor front locker,2,No,No,,,100,,,,,,,,
Hose,Supply,10mm Fuel hose,5,meter,,,Pipe,Vetus,Outdoor front locker,2,No,No,,,101,,,,,,,,
Hose,Supply,16mm DW Hose,5,meter,,,Pipe,Vetus,Portside watermaker cupboard,2,No,No,,,102,,,,,,,,
Hose,Supply,19mm DW Hose,3,meter,,,Pipe,Vetus,TBD,2,No,No,,NO_LOCATION,103,,,,,,,,
Hose,Supply,25mm DW Hose,3,meter,,,Pipe,Vetus,Portside watermaker cupboard,2,No,No,,,104,,,,,,,,
Clamps,Supply,8-16mm Clamps,6,piece,,,Hose Clamps,Wurth,AquaMend box: Strbd bath above toilet,2,No,No,,,106,,,,,,,,
Clamps,Supply,16-27mm Clamps,5,piece,,,Hose Clamps,Wurth,AquaMend box: Strbd bath above toilet,2,No,No,,,107,,,,,,,,
Clamps,Supply,20-32mm Clamps,6,piece,,,Hose Clamps,Wurth,AquaMend box: Strbd bath above toilet,2,No,No,,,108,,,,,,,,
Clamps,Supply,32-50mm Clamps,6,piece,,,Hose Clamps,Wurth,AquaMend box: Strbd bath above toilet,2,No,No,,,109,,,,,,,,
Steering Rope,Supply,Pre-cut lengths 7.5m pre run in boat,1,piece,,,Spare Steering,,Installed,0,No,No,,,111,,,,,,,,
Steering Rope,Supply,Pre-cut lengths 6.2m pre run in boat,1,piece,,,Spare Steering,,Installed,0,No,No,,,112,,,,,,,,
Steering Rope,Supply,Pre-cut Lengths 10.5m pre run in boat,1,piece,,,Spare Steering,,Installed,0,No,No,,,113,,,,,,,,
Steering Rope,Supply,Precut Lengths 11.5m pre run in boat,1,piece,,,Spare Steering,,Installed,0,No,No,,,114,,,,,,,,
Watermaker,Supply,5 micron filters,3,piece,,,Watermaker,,Watermaker Box: Strbd bath above toilet,1,No,No,,,116,,,,,,,,
Watermaker,Supply,10 micron carbon filters,1,piece,,,Watermaker,,Watermaker Box: Strbd bath above toilet,1,No,No,,,117,,,,,,,,
Watermaker,Supply,RO quick-release 1/4 water filter,1,piece,,,Watermaker,,Watermaker Box: Strbd bath above toilet,1,No,No,,,STOCK_UNCLEAR,118,,,,,,,
Watermaker,Supply,motor coupling,1,piece,,,Watermaker,,Watermaker Box: Strbd bath above toilet,2,No,No,,,119,,,,,,,,
Watermaker,Supply,PSP 15 (coupling?),1,piece,,,Watermaker,,Watermaker Box: Strbd bath above toilet,2,No,No,,,120,,,,,,,,
Watermaker,Supply,PSSM 152 (coupling),1,piece,,,Watermaker,,Watermaker Box: Strbd bath above toilet,2,No,No,,,121,,,,,,,,
Watermaker,Supply,Schneker Cleaning 1,2,piece,Schneker,,Watermaker,,Watermaker Box: Strbd bath above toilet,2,No,No,,,122,,,,,,,,
Watermaker,Supply,Schneker Cleaning 2,1,piece,Schneker,,Watermaker,,Watermaker Box: Strbd bath above toilet,2,No,No,,,123,,,,,,,,
Watermaker,Supply,tube of silicone paste,1,piece,,,Watermaker,,Watermaker Box: Strbd bath above toilet,2,No,No,,,124,,,,,,,,
Watermaker,Supply,Schsp 10 pump head,1,piece,,,Watermaker,,Watermaker Box: Strbd bath above toilet,2,No,No,,,125,,,,,,,,
Watermaker,Supply,Schdpm16 (cables and sensor?),1,piece,,Schdpm16,Watermaker,,Watermaker Box: Strbd bath above toilet,2,No,No,,,126,,,,,,,,
Watermaker,Supply,SchSsZ15 (assorted washers),1,piece,,SchSsZ15,Watermaker,,Watermaker Box: Strbd bath above toilet,2,No,No,,,127,,,,,,,,
Watermaker,Supply,Schneker water maker tubing compression nut,1,piece,Schneker,,Watermaker,,Nav Station Stbd Top (grey battery bag),2,No,No,,,QTY_BLANK; STOCK_UNCLEAR,128,,,,,,,
FASTENER,Tool,Grommets Punch,1,piece,,,,,Ziplock bag: Strbd bath above toilet,0,No,No,,,130,,,,,,,,
FASTENER,Supply,Grommets 10mm 3/8 inch,1,piece,,,,,Ziplock bag: Strbd bath above toilet,0,No,No,,,131,,,,,,,,
FASTENER,Supply,Grommets 8mm 5/16 inch,1,piece,,,,,Ziplock bag: Strbd bath above toilet,0,No,No,,,132,,,,,,,,
FASTENER,Supply,Grommets 12mm 1/2 inch,1,piece,,,,,Ziplock bag: Strbd bath above toilet,0,No,No,,,133,,,,,,,,
FASTENER,Supply,1 micron filters,4,piece,,,,,Strbd bath above toilet,1,No,No,,,134,,,,,,,,
FASTENER,Supply,5 micron filter,1,piece,,,,,Strbd bath above toilet,1,No,No,,,135,,,,,,,,
FASTENER,Supply,hinges,20,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,136,,,,,,,,
FASTENER,Supply,Small zip-ties,15,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,137,,,,,,,,
Adhesives & Ties,Tool,Bungee Cords,6,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,139,,,,,,,,
Adhesives & Ties,Item,Cargo Nets,3,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,140,,,,,,,,
Adhesives & Ties,Supply,small open tube Sike 591,1.5,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,142,,,,,,,,
Adhesives & Ties,Supply,Wooden mixing sticks (small),10,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,143,,,,,,,,
Adhesives & Ties,Supply,Gloves (thin working),100,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,144,,,,,,,,
Adhesives & Ties,Supply,Marine Weld (25ml),1,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,145,,,,,,,,
Adhesives & Ties,Item,Self Adhensive Hooks,12,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,146,,,,,,,,
Adhesives & Ties,Tool,2 m long tiedowns,4,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,147,,,,,,,,
Adhesives & Ties,Supply,Locktight (20g),1,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,148,,,,,,,,
Adhesives & Ties,Item,Fasteners (or outside window covers and enclosure),6,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,149,,,,,,,,
many,Supply,Portable cord ties,10,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,151,,,,,,,,
many,Tool,M2 3/8 Anchor strap,1,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,152,,,,,,,,
many,Tool,M2 1/2 Anchor strap,1,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,153,,,,,,,,
many,Item,long bag,1,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,154,,,,,,,,
many,Tool,Tikka Yatching Repair Kit,1,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,155,,,,,,,,
Tools (not in tool drawer),Tool,Small mallet,1,piece,,,,,Gym cupboard,0,No,No,,,158,,,,,,,,
Tools (not in tool drawer),Tool,Digital caliper,1,piece,,,,,Gym cupboard,0,No,No,,,159,,,,,,,,
Tools (not in tool drawer),Tool,Strap wrench,1,piece,,,,,Gym cupboard,0,No,No,,,160,,,,,,,,
Tools (not in tool drawer),Tool,salination tester,1,piece,,,,,Gym cupboard,0,No,No,,,161,,,,,,,,
Tools (not in tool drawer),Tool,Dremel drill and parts,1,piece,,,,,Gym cupboard,0,No,No,,,162,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,Set of Spanners sz 6-19,1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,165,,,,,,,,
Tool Kit for CNC Tool Drawer,Tool,"Set of Allen keys sz 1,5 - 10",1,piece,,,Tools,,tool drawer (saloon),0,No,No,,,166,,,,,,,,
