doc_id,filename,asset_uid,manufacturer,model,storage_path,file_size_mb,uploaded_at,parse_status,parse_started_at,parse_completed_at,chunks_processed,vectors_upserted,chunks_in_db,chunks_in_storage,chunking_strategy,error_message,dip_status,dip_started_at,dip_completed_at,specs_count,golden_count,intent_count,procedures_count,cache_tokens_written,cache_tokens_read,total_input_tokens,total_output_tokens,estimated_cost_usd,dip_error_message
b39bb045795131b3b8039f385947837b9cf6c878672f6172d2358476a7666064,yanmar_vc20.pdf,641b18cf-e9de-4ebe-a37e-4e48c19aaaaf,Yanmar,vc20,manuals/b39bb045795131b3b8039f385947837b9cf6c878672f6172d2358476a7666064/yanmar_vc20.pdf,0.78,2025-10-14T23:34:58.516Z,completed,2025-10-15T15:56:17.021Z,2025-10-15T15:56:37.831Z,1,1,1,0,semantic_v2,,completed,2025-10-15T19:34:08.795879,2025-10-15T19:35:18.101588,15,12,14,3,0,0,4933,4647,0.0845,
34e8b3ef7e047c502ba6ba00fda21515a15177dc710fa158e0a703c461ba561b,bg_forwardscan_transducers.pdf,99f63852-706e-e912-f856-5e4319422726,B&G,forwardscan_transducers,manuals/34e8b3ef7e047c502ba6ba00fda21515a15177dc710fa158e0a703c461ba561b/bg_forwardscan_transducers.pdf,0.80,2025-10-15T11:34:48.734Z,completed,2025-10-15T15:56:54.215Z,2025-10-15T15:57:19.880Z,3,3,3,0,semantic_v2,,,,,,,,,,,,,,
f186922f0a4f120642d6bfe7efc21da9d9036cd343d86227cdca954bbd680991,bg_halo24_plus.pdf,dced0407-7762-9022-097a-bd0d30ea2509,B&G,halo24_plus,manuals/f186922f0a4f120642d6bfe7efc21da9d9036cd343d86227cdca954bbd680991/bg_halo24_plus.pdf,3.25,2025-10-15T11:34:50.085Z,completed,2025-10-15T15:57:21.888Z,2025-10-15T15:58:00.535Z,14,14,14,0,semantic_v2,,,,,,,,,,,,,,
ab0fa32ec3d8c2fe5372aeb60a097209501f5c45b9db67357c70f7791df5841e,bg_ip_camera.pdf,25a4fe5f-d6bc-4eb6-9cb9-93c04f3d6f1b,B&G,ip_camera,manuals/ab0fa32ec3d8c2fe5372aeb60a097209501f5c45b9db67357c70f7791df5841e/bg_ip_camera.pdf,0.55,2025-10-15T11:34:50.920Z,completed,2025-10-15T15:58:02.541Z,2025-10-15T15:58:49.418Z,4,4,4,0,semantic_v2,,,,,,,,,,,,,,
24f9bcfdcaf2e4da3d81975900de1560b33444e166e3f2c9e8a6aef8e6575749,bg_nac_3_autopilot_computer.pdf,19dcd795-9f7e-0aaf-93ca-e668771cd2d3,B&G,nac_3_autopilot_computer,manuals/24f9bcfdcaf2e4da3d81975900de1560b33444e166e3f2c9e8a6aef8e6575749/bg_nac_3_autopilot_computer.pdf,1.38,2025-10-15T11:34:51.806Z,completed,2025-10-15T15:58:51.422Z,2025-10-15T15:59:22.206Z,2,2,2,0,semantic_v2,,,,,,,,,,,,,,
315e3f0f218f2e2a192eca772600cf242f7e7b1c6c406bd973be23319d9591a4,bg_nemesis_9.pdf,3726411d-ce98-42da-a858-849a5ae98717,B&G,nemesis_9,manuals/315e3f0f218f2e2a192eca772600cf242f7e7b1c6c406bd973be23319d9591a4/bg_nemesis_9.pdf,2.21,2025-10-15T11:34:53.131Z,completed,2025-10-15T15:59:24.210Z,2025-10-15T15:59:48.187Z,3,3,3,0,semantic_v2,,,,,,,,,,,,,,
43ea98debb26f3df643ad5c58cb36fb7b33372581e2d3509887406c290b6af59,bg_precision_9.pdf,02192834-87c3-9d3a-f556-ca736b284338,B&G,precision_9,manuals/43ea98debb26f3df643ad5c58cb36fb7b33372581e2d3509887406c290b6af59/bg_precision_9.pdf,0.96,2025-10-15T11:34:54.169Z,completed,2025-10-15T15:59:50.204Z,2025-10-15T16:00:19.357Z,5,5,5,0,semantic_v2,,,,,,,,,,,,,,
708dd317e4310ddeb296a21e3fd9dcb46332f113c3a19841a1994d5ba3e6225b,bg_rf25n_rudder_feedback_unit.pdf,c8fa8549-d68d-ca0e-8cd2-75cfce49ec5b,B&G,rf25n_rudder_feedback_unit,manuals/708dd317e4310ddeb296a21e3fd9dcb46332f113c3a19841a1994d5ba3e6225b/bg_rf25n_rudder_feedback_unit.pdf,0.16,2025-10-15T11:34:55.011Z,completed,2025-10-15T16:00:21.362Z,2025-10-15T16:00:42.087Z,3,3,3,0,semantic_v2,,,,,,,,,,,,,,
0644a2cc271b30bbf00e22527eeeef6a346424ad56532a7a95f53662c252434b,bg_sonarhub.pdf,b3cea2e4-8739-dbe0-9197-60a2301ce360,B&G,sonarhub,manuals/0644a2cc271b30bbf00e22527eeeef6a346424ad56532a7a95f53662c252434b/bg_sonarhub.pdf,0.10,2025-10-15T11:34:55.615Z,completed,2025-10-15T16:00:44.089Z,2025-10-15T16:01:10.273Z,2,2,2,0,semantic_v2,,,,,,,,,,,,,,
f8e4507e635f14b3d754d60ef55ac59484abfd3ecb21ea45bcef09da1aa2255d,bg_t2_ram_24v.pdf,b22eaf1a-2334-bcca-b748-f3a13cf3f092,B&G,t2_ram_24v,manuals/f8e4507e635f14b3d754d60ef55ac59484abfd3ecb21ea45bcef09da1aa2255d/bg_t2_ram_24v.pdf,1.50,2025-10-15T11:34:57.629Z,completed,2025-10-15T16:01:12.278Z,2025-10-15T16:02:14.333Z,5,5,5,0,semantic_v2,,,,,,,,,,,,,,
